iter	RMSE
0	57327.84132
1	56338.14589
2	55375.46934
3	54438.75354
4	53527.2978
5	52640.76424
6	51778.3706
7	50940.37917
8	50125.00447
9	49331.07781
10	48553.95651
11	47798.52713
12	47063.50059
13	46349.32928
14	45656.70696
15	44982.25898
16	44325.47074
17	43686.64167
18	43067.75719
19	42467.67612
20	41862.34123
21	41294.56575
22	40743.82329
23	40204.89538
24	39680.11929
25	39175.65789
26	38687.25052
27	38213.20691
28	37755.16422
29	37308.77194
30	36877.81983
31	36458.16284
32	36038.57612
33	35601.03097
34	35219.03072
35	34849.86588
36	34488.48329
37	34120.19019
38	33782.10058
39	33456.86482
40	33089.19809
41	32783.58173
42	32449.41083
43	32119.39105
44	31805.59319
45	31495.42027
46	31209.30023
47	30921.06536
48	30658.83306
49	30405.91181
50	30143.5323
51	29916.41565
52	29662.98506
53	29437.7324
54	29208.4444
55	28998.30557
56	28773.14669
57	28543.63583
58	28358.35262
59	28132.08403
60	27922.33138
61	27752.329
62	27561.71534
63	27363.91726
64	27185.04038
65	27032.75376
66	26888.35154
67	26741.17497
68	26571.64354
69	26404.4145
70	26273.65763
71	26148.91091
72	25993.69388
73	25877.06839
74	25763.20911
75	25618.73984
76	25477.27452
77	25356.27184
78	25230.12523
79	25103.10027
80	25007.69573
81	24887.38679
82	24783.48906
83	24694.40544
84	24577.62513
85	24496.08776
86	24412.24891
87	24331.71481
88	24222.66367
89	24108.13339
90	24025.25484
91	23952.89584
92	23845.39848
93	23756.82861
94	23683.30847
95	23617.76215
96	23554.88265
97	23494.84653
98	23415.65615
99	23341.77148
100	23262.40722
101	23196.05255
102	23118.51244
103	23066.35892
104	23011.19608
105	22962.62845
106	22903.90244
107	22833.898
108	22769.85357
109	22724.33518
110	22672.07073
111	22626.28145
112	22561.33036
113	22511.473
114	22464.84042
115	22417.03809
116	22359.41725
117	22301.50524
118	22266.441
119	22226.83956
120	22172.17363
121	22132.29214
122	22079.54914
123	22038.39103
124	22008.2989
125	21969.64908
126	21903.67998
127	21851.14849
128	21820.58061
129	21774.59535
130	21741.56668
131	21705.31276
132	21656.57748
133	21627.99003
134	21579.57109
135	21534.44123
136	21508.83126
137	21452.08146
138	21405.88405
139	21362.18456
140	21321.40423
141	21298.82338
142	21275.77359
143	21247.01074
144	21224.41376
145	21200.74994
146	21162.79265
147	21137.68276
148	21102.29901
149	21084.50775
150	21054.75499
151	21036.19549
152	20993.34918
153	20952.27465
154	20920.98322
155	20881.41163
156	20849.27237
157	20824.6943
158	20794.78041
159	20756.61959
160	20720.90786
161	20694.91968
162	20679.28459
163	20646.30484
164	20616.75923
165	20583.57865
166	20562.17336
167	20546.89164
168	20516.71139
169	20488.065
170	20469.81419
171	20462.66349
172	20433.60058
173	20407.1193
174	20387.77538
175	20368.02747
176	20343.4584
177	20324.58228
178	20319.45848
179	20296.58081
180	20282.92341
181	20265.18861
182	20248.24388
183	20231.55458
184	20215.53583
185	20193.75535
186	20173.30208
187	20149.45676
188	20132.00234
189	20121.97663
190	20100.80192
191	20081.31115
192	20064.07129
193	20047.17111
194	20037.98965
195	20020.99607
196	20004.28892
197	19988.61217
198	19977.79384
199	19967.29012
200	19948.34136
201	19934.38617
202	19917.18964
203	19900.27806
204	19889.56001
205	19879.62244
206	19868.14684
207	19851.48543
208	19835.6238
209	19820.12525
210	19819.14147
211	19806.70005
212	19799.38999
213	19788.28864
214	19779.96418
215	19766.91635
216	19763.15345
217	19761.87687
218	19753.53929
219	19743.27888
220	19731.73529
221	19718.66751
222	19709.09086
223	19697.76954
224	19695.04804
225	19686.04606
226	19674.37824
227	19669.64304
228	19659.76772
229	19654.56735
230	19645.43201
231	19634.10336
232	19629.8708
233	19619.76895
234	19609.40579
235	19601.51711
236	19591.50303
237	19584.7467
238	19584.08051
239	19577.87886
240	19577.2466
241	19571.62098
242	19568.93019
243	19568.35125
244	19568.17032
245	19559.20179
246	19553.12436
247	19552.59658
248	19547.51125
249	19547.35763
250	19539.64052
251	19532.00562
252	19525.29989
253	19524.83046
254	19516.93984
255	19516.46416
256	19508.76306
257	19503.86127
258	19503.74496
259	19503.63403
260	19503.50495
261	19503.33418
262	19494.57594
263	19487.34057
264	19483.89921
265	19480.32262
266	19475.16185
267	19475.06894
268	19470.70012
269	19470.32433
270	19470.29874
271	19466.20907
272	19463.41275
273	19456.99945
274	19456.89364
275	19456.87073
276	19450.55437
277	19444.07747
278	19438.25951
279	19438.19341
280	19437.84465
281	19437.77517
282	19433.14493
283	19433.12874
284	19428.02428
285	19422.35004
286	19422.33316
287	19418.14763
288	19412.84876
289	19412.51508
290	19412.46645
291	19408.01192
292	19407.72546
293	19404.85314
294	19404.56055
295	19403.22051
296	19401.16533
297	19397.96825
298	19393.20479
299	19388.66941
300	19388.40633
301	19386.49094
302	19386.27112
303	19386.03507
304	19386.02492
305	19381.71654
306	19374.28674
307	19372.38417
308	19371.65517
309	19368.49588
310	19365.09095
311	19365.08147
312	19362.54076
313	19357.93927
314	19356.9171
315	19353.06567
316	19353.0589
317	19353.0528
318	19352.83599
319	19352.80685
320	19351.34329
321	19350.39667
322	19350.19473
323	19350.00092
324	19342.92162
325	19342.90874
326	19342.71893
327	19342.53928
328	19342.51352
329	19342.50674
330	19342.49861
331	19342.34744
332	19339.32099
333	19338.76975
334	19338.75687
335	19338.58533
336	19338.58126
337	19335.70749
338	19335.54134
339	19334.40676
340	19334.39591
341	19334.39116
342	19334.38234
343	19334.37488
344	19334.36674
345	19334.35725
346	19334.34911
347	19334.34708
348	19334.33962
349	19334.33351
350	19334.32944
351	19334.32741
352	19334.30367
353	19334.14429
354	19334.13751
355	19334.13005
356	19330.68312
357	19327.38687
358	19327.37805
359	19327.22608
360	19327.20708
361	19327.20437
362	19320.32846
363	19320.31964
364	19320.302
365	19320.29317
366	19320.28842
367	19315.84726
368	19315.8425
369	19309.46507
370	19309.45964
371	19309.45013
372	19309.44266
373	19309.14658
374	19309.14319
375	19303.89659
376	19303.88708
377	19300.79006
378	19300.65486
379	19300.65147
380	19297.90998
381	19297.4357
382	19291.02567
383	19288.13394
384	19288.13054
385	19288.12306
386	19288.11558
387	19288.10811
388	19288.10267
389	19286.78649
390	19277.40613
391	19272.40535
392	19267.45295
393	19267.44682
394	19267.43797
395	19263.74904
396	19259.60938
397	19259.59917
398	19259.59441
399	19257.43062
400	19257.41564
401	19257.40951
402	19257.40338
403	19255.13448
404	19255.13039
405	19255.12698
406	19252.38583
407	19252.37902
408	19250.33771
409	19250.33362
410	19250.32885
411	19247.32745
412	19242.926
413	19242.92055
414	19240.43663
415	19240.4339
416	19238.37565
417	19235.97294
418	19235.96953
419	19235.96408
420	19235.96067
421	19231.64253
422	19231.63776
423	19231.63435
424	19228.32998
425	19223.69909
426	19223.69637
427	19223.69432
428	19223.69227
429	19223.68954
430	19218.66523
431	19218.66046
432	19216.8421
433	19216.84142
434	19213.80408
435	19212.08696
436	19207.21254
437	19207.20981
438	19204.40036
439	19200.62898
440	19200.62693
441	19200.62693
442	19200.62556
443	19200.62488
444	19200.62147
445	19199.08211
446	19196.488
447	19196.48732
448	19196.48527
449	19196.36847
450	19192.29763
451	19190.12625
452	19187.65804
453	19185.84222
454	19185.84153
455	19180.63982
456	19177.81759
