iter	Passed	Remaining
0	26	79272
1	49	74936
2	76	76052
3	102	76962
4	129	77332
5	158	78925
6	180	77164
7	204	76460
8	231	76826
9	257	77087
10	281	76619
11	306	76338
12	331	76143
13	356	76109
14	381	75895
15	407	75933
16	434	76241
17	460	76210
18	482	75692
19	507	75674
20	533	75661
21	560	75911
22	585	75767
23	611	75789
24	635	75666
25	662	75752
26	685	75473
27	711	75550
28	736	75448
29	759	75218
30	787	75455
31	809	75125
32	837	75286
33	864	75388
34	889	75353
35	916	75480
36	941	75408
37	968	75469
38	995	75617
39	1022	75694
40	1046	75533
41	1071	75443
42	1100	75702
43	1127	75767
44	1152	75710
45	1174	75394
46	1198	75296
47	1223	75254
48	1248	75178
49	1271	75012
50	1295	74893
51	1319	74801
52	1342	74671
53	1368	74640
54	1393	74604
55	1415	74394
56	1437	74234
57	1462	74174
58	1486	74105
59	1510	74005
60	1535	73966
61	1559	73891
62	1582	73766
63	1605	73663
64	1629	73567
65	1655	73597
66	1678	73492
67	1702	73428
68	1727	73373
69	1750	73271
70	1773	73153
71	1804	73395
72	1833	73531
73	1858	73475
74	1879	73311
75	1902	73196
76	1927	73178
77	1952	73157
78	1975	73040
79	2000	73017
80	2023	72920
81	2045	72794
82	2071	72794
83	2095	72727
84	2120	72706
85	2144	72653
86	2169	72627
87	2193	72570
88	2218	72567
89	2243	72525
90	2265	72427
91	2289	72371
92	2312	72281
93	2337	72262
94	2361	72198
95	2385	72172
96	2409	72114
97	2434	72080
98	2457	72019
99	2483	72032
100	2507	71972
101	2532	71952
102	2557	71927
103	2581	71894
104	2603	71781
105	2627	71746
106	2651	71696
107	2674	71605
108	2696	71532
109	2720	71477
110	2744	71419
111	2768	71384
112	2792	71332
113	2817	71328
114	2838	71209
115	2863	71182
116	2889	71212
117	2913	71167
118	2939	71167
119	2962	71093
120	2987	71080
121	3011	71050
122	3035	70997
123	3058	70938
124	3082	70901
125	3104	70817
126	3128	70774
127	3154	70787
128	3177	70727
129	3200	70646
130	3224	70611
131	3248	70589
132	3271	70521
133	3297	70533
134	3320	70472
135	3345	70443
136	3368	70388
137	3393	70384
138	3419	70378
139	3444	70360
140	3467	70307
141	3493	70315
142	3518	70294
143	3542	70265
144	3563	70163
145	3587	70121
146	3614	70155
147	3635	70057
148	3659	70012
149	3683	69989
150	3705	69915
151	3729	69871
152	3754	69863
153	3779	69838
154	3802	69796
155	3825	69738
156	3849	69707
157	3872	69647
158	3896	69624
159	3921	69600
160	3944	69564
161	3969	69541
162	3995	69538
163	4023	69569
164	4045	69515
165	4067	69450
166	4090	69396
167	4115	69369
168	4136	69299
169	4165	69340
170	4191	69343
171	4214	69297
172	4236	69228
173	4261	69216
174	4286	69191
175	4309	69155
176	4331	69084
177	4354	69031
178	4366	68821
179	4390	68779
180	4414	68749
181	4439	68746
182	4461	68670
183	4484	68631
184	4509	68623
185	4532	68569
186	4557	68557
187	4584	68570
188	4607	68533
189	4630	68475
190	4652	68426
191	4676	68391
192	4698	68339
193	4725	68342
194	4748	68305
195	4771	68261
196	4794	68221
197	4818	68185
198	4845	68206
199	4867	68144
200	4890	68103
201	4914	68072
202	4938	68050
203	4960	67983
204	4987	68003
205	5011	67977
206	5035	67944
207	5057	67882
208	5080	67839
209	5103	67800
210	5116	67632
211	5141	67612
212	5164	67580
213	5188	67553
214	5213	67527
215	5237	67505
216	5262	67488
217	5274	67312
218	5295	67246
219	5320	67234
220	5345	67212
221	5368	67175
222	5394	67174
223	5417	67137
224	5440	67098
225	5462	67050
226	5486	67019
227	5511	67008
228	5537	67006
229	5562	66993
230	5590	67014
231	5614	66983
232	5638	66960
233	5660	66913
234	5687	66921
235	5710	66881
236	5733	66844
237	5755	66792
238	5767	66633
239	5789	66576
240	5807	66485
241	5832	66468
242	5853	66409
243	5867	66274
244	5877	66093
245	5901	66070
246	5923	66024
247	5938	65898
248	5961	65858
249	5972	65697
250	5993	65643
251	6016	65613
252	6040	65581
253	6052	65432
254	6080	65455
255	6094	65321
256	6119	65314
257	6142	65277
258	6150	65094
259	6160	64926
260	6173	64781
261	6182	64613
262	6206	64586
263	6232	64588
264	6255	64564
265	6278	64533
266	6301	64504
267	6311	64334
268	6336	64331
269	6349	64201
270	6359	64040
271	6382	64010
272	6405	63989
273	6432	64000
274	6445	63865
275	6453	63691
276	6481	63710
277	6508	63725
278	6534	63727
279	6546	63592
280	6561	63485
281	6572	63343
282	6595	63319
283	6603	63148
284	6627	63131
285	6649	63104
286	6661	62974
287	6683	62933
288	6709	62941
289	6722	62822
290	6734	62690
291	6756	62657
292	6770	62550
293	6793	62531
294	6809	62437
295	6834	62435
296	6859	62432
297	6884	62424
298	6911	62430
299	6934	62407
300	6946	62289
301	6970	62269
302	6981	62144
303	6996	62046
304	7004	61892
305	7030	61892
306	7052	61864
307	7075	61845
308	7096	61797
309	7119	61775
310	7144	61771
311	7157	61665
312	7181	61651
313	7205	61639
314	7228	61616
315	7249	61578
316	7260	61449
317	7268	61299
318	7281	61192
319	7292	61074
320	7315	61056
321	7339	61037
322	7350	60919
323	7364	60827
324	7386	60796
325	7398	60681
326	7409	60565
327	7425	60491
328	7438	60392
329	7447	60256
330	7459	60145
331	7472	60049
332	7495	60031
333	7517	60002
334	7529	59897
335	7546	59833
336	7559	59734
337	7581	59706
338	7599	59650
339	7622	59631
340	7633	59520
341	7640	59382
342	7650	59259
343	7659	59141
344	7669	59018
345	7680	58910
346	7690	58799
347	7700	58679
348	7711	58576
349	7724	58485
350	7732	58358
351	7741	58240
352	7755	58156
353	7768	58062
354	7776	57943
355	7790	57863
356	7815	57860
357	7840	57859
358	7854	57779
359	7865	57681
360	7875	57572
361	7886	57467
362	7909	57455
363	7921	57368
364	7932	57264
365	7942	57162
366	7954	57071
367	7979	57071
368	7991	56977
369	8012	56956
370	8025	56869
371	8042	56819
372	8063	56793
373	8075	56698
374	8088	56621
375	8112	56615
376	8125	56530
377	8152	56551
378	8167	56480
379	8176	56372
380	8199	56363
381	8213	56287
382	8239	56303
383	8263	56298
384	8275	56212
385	8289	56138
386	8299	56039
387	8312	55959
388	8325	55884
389	8351	55890
390	8375	55885
391	8402	55899
392	8430	55924
393	8446	55864
394	8457	55778
395	8479	55756
396	8501	55743
397	8517	55684
398	8529	55604
399	8554	55604
400	8566	55520
401	8578	55439
402	8590	55360
403	8615	55359
404	8624	55260
405	8634	55167
406	8659	55167
407	8673	55101
408	8701	55124
409	8712	55034
410	8727	54976
411	8741	54907
412	8766	54911
413	8777	54825
414	8801	54823
415	8811	54732
416	8834	54724
417	8861	54739
418	8872	54655
419	8885	54581
420	8896	54496
421	8920	54496
422	8931	54412
423	8939	54314
424	8965	54321
425	8988	54310
426	8998	54221
427	9008	54137
428	9019	54055
429	9029	53968
430	9052	53958
431	9063	53878
432	9087	53872
433	9096	53784
434	9122	53791
435	9147	53795
436	9169	53776
437	9180	53698
438	9201	53681
439	9226	53679
440	9234	53582
441	9242	53489
442	9251	53401
443	9259	53307
444	9272	53238
445	9295	53228
446	9319	53224
447	9327	53131
448	9334	53036
449	9347	52968
450	9369	52953
451	9391	52941
452	9416	52943
453	9437	52924
454	9447	52842
455	9471	52839
456	9493	52827
457	9517	52824
458	9539	52810
459	9563	52809
460	9586	52800
461	9609	52791
462	9619	52707
463	9640	52690
464	9664	52684
465	9688	52685
466	9697	52601
467	9720	52590
468	9735	52537
469	9757	52526
470	9780	52518
471	9801	52496
472	9826	52497
473	9834	52406
474	9847	52349
475	9870	52338
476	9892	52325
477	9901	52242
478	9918	52199
479	9940	52188
480	9963	52177
481	9971	52091
482	9981	52017
483	10002	51997
484	10026	51994
485	10050	51987
486	10057	51900
487	10064	51809
488	10079	51757
489	10088	51677
490	10097	51596
491	10121	51595
492	10129	51512
493	10139	51434
494	10161	51423
495	10175	51372
496	10197	51355
497	10219	51345
498	10227	51261
499	10240	51202
500	10263	51193
501	10287	51192
502	10310	51185
503	10319	51105
504	10342	51096
505	10350	51014
506	10373	51008
507	10385	50947
508	10398	50891
509	10422	50888
510	10431	50810
511	10457	50815
512	10468	50752
513	10481	50692
514	10490	50619
515	10497	50534
516	10520	50528
517	10529	50450
518	10539	50384
519	10565	50387
520	10581	50348
521	10592	50282
522	10605	50227
523	10626	50212
524	10636	50141
525	10657	50128
526	10682	50129
527	10692	50060
528	10700	49982
529	10710	49913
530	10719	49841
531	10727	49765
532	10737	49697
533	10744	49618
534	10752	49541
535	10761	49471
536	10773	49415
537	10786	49359
538	10793	49283
539	10803	49214
540	10814	49155
541	10824	49091
542	10848	49086
543	10856	49014
544	10879	49007
545	10888	48936
546	10911	48931
547	10920	48861
548	10928	48789
549	10951	48785
550	10975	48784
551	10985	48720
552	10994	48650
553	11003	48582
